# LCDM BASELINE DATA (FROM CLASS)
# Scale Factor (a)   | Integral I(a)      | H_LCDM [km/s/Mpc]
0.1000             | 0.000000e+00       | 1196.6668      
0.1129             | 0.000000e+00       | 998.5260       
0.1274             | 0.000000e+00       | 833.3845       
0.1438             | 0.000000e+00       | 694.9415       
0.1623             | 0.000000e+00       | 580.4558       
0.1832             | 0.000000e+00       | 485.1380       
0.2069             | 0.000000e+00       | 405.3548       
0.2335             | 0.000000e+00       | 339.5272       
0.2635             | 0.000000e+00       | 284.8984       
0.2976             | 0.000000e+00       | 239.3841       
0.3358             | 0.000000e+00       | 202.0757       
0.3793             | 0.000000e+00       | 171.2096       
0.4280             | 0.000000e+00       | 146.1501       
0.4830             | 0.000000e+00       | 125.8043       
0.5455             | 0.000000e+00       | 109.3425       
0.6156             | 0.000000e+00       | 96.3526        
0.6947             | 0.000000e+00       | 86.1670        
0.7846             | 0.000000e+00       | 78.2568        
0.8854             | 0.000000e+00       | 72.2933        
1.0000             | 0.000000e+00       | 67.8100        
