# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381336272760e-10       4.175854889850e-15       3.515761484326e-13       0.000000000000e+00       8.285726686712e-09       4.560794811466e-10      -1.840600018326e-12 
    3       1.306078176974e-10       5.350810602070e-15       3.951627130993e-13       0.000000000000e+00       5.086960997348e-09       3.225652774258e-10      -1.393870151347e-12 
    4       1.235420321273e-10       4.626465792391e-15       3.695431192772e-13       0.000000000000e+00       3.522980047558e-09       2.438407962484e-10      -9.122244678511e-13 
    5       1.182578893516e-10       3.084812413515e-15       3.147004747552e-13       0.000000000000e+00       2.621514049785e-09       1.923923474056e-10      -5.067133916812e-13 
    6       1.146363053915e-10       1.723975533690e-15       2.534560250831e-13       0.000000000000e+00       2.042588802704e-09       1.563934993005e-10      -2.080081015031e-13 
    7       1.122778958020e-10       9.313304313332e-16       1.990065202217e-13       0.000000000000e+00       1.644357609202e-09       1.299931817385e-10      -1.760729477104e-14 
    8       1.109026203407e-10       6.010301839669e-16       1.571249485278e-13       0.000000000000e+00       1.356591928682e-09       1.099887188969e-10       7.943223094591e-14 
    9       1.102624307928e-10       4.824152371414e-16       1.290910345842e-13       0.000000000000e+00       1.140654550905e-09       9.448218153965e-11       1.064491721991e-13 
   10       1.101270429474e-10       4.107618606490e-16       1.135808040117e-13       0.000000000000e+00       9.737532070234e-10       8.220662275461e-11       8.928862220818e-14 
   11       1.104374073683e-10       3.446675278538e-16       1.079365033077e-13       0.000000000000e+00       8.334433196483e-10       7.301999900620e-11       5.203850324784e-14 
   12       1.110424498957e-10       2.997843561366e-16       1.091013162060e-13       0.000000000000e+00       7.284077135063e-10       6.456656803997e-11       1.227924062524e-14 
   13       1.118916268619e-10       2.871146236526e-16       1.143926700664e-13       0.000000000000e+00       6.421587105083e-10       5.770054266922e-11      -1.799214329453e-14 
   14       1.129372537718e-10       2.986897483016e-16       1.217899326079e-13       0.000000000000e+00       5.703837905522e-10       5.172026896721e-11      -3.451684822749e-14 
   15       1.141664982933e-10       3.227677240484e-16       1.300048858445e-13       0.000000000000e+00       5.099591995717e-10       4.668963704484e-11      -3.750230335655e-14 
   16       1.155046486196e-10       3.568231020955e-16       1.383749211701e-13       0.000000000000e+00       4.585735304419e-10       4.235372243798e-11      -3.091064066512e-14 
   17       1.169787395235e-10       4.063922763721e-16       1.466781047150e-13       0.000000000000e+00       4.144842991442e-10       3.856969508772e-11      -1.993910323435e-14 
   18       1.185257350032e-10       4.769036013005e-16       1.551756940856e-13       0.000000000000e+00       3.762142277954e-10       3.526902265539e-11      -9.474435478870e-15 
   19       1.201569877249e-10       5.686830138312e-16       1.640909145988e-13       0.000000000000e+00       3.431461650209e-10       3.240456792990e-11      -2.117529742473e-15 
   20       1.218652249613e-10       6.797304987269e-16       1.735635258804e-13       0.000000000000e+00       3.140199502995e-10       2.986211616077e-11       4.239094165806e-16 
   21       1.236517526399e-10       8.094103525273e-16       1.835445772893e-13       0.000000000000e+00       2.883777507969e-10       2.759560231229e-11      -1.286543555627e-15 
   22       1.254905579826e-10       9.572355437865e-16       1.938459505615e-13       0.000000000000e+00       2.656025003439e-10       2.554790938550e-11      -5.504566796617e-15 
   23       1.273879915420e-10       1.123375959869e-15       2.041446516211e-13       0.000000000000e+00       2.453895383768e-10       2.371051745457e-11      -1.047676036996e-14 
   24       1.293382716372e-10       1.308047637436e-15       2.140281730618e-13       0.000000000000e+00       2.272775915830e-10       2.206679872074e-11      -1.433573912100e-14 
   25       1.313361886185e-10       1.511465443981e-15       2.231888061565e-13       0.000000000000e+00       2.110211399229e-10       2.059447771992e-11      -1.627001058033e-14 
   26       1.333640925840e-10       1.733999433684e-15       2.313628719753e-13       0.000000000000e+00       1.963021982823e-10       1.925665018856e-11      -1.595359074735e-14 
   27       1.354315998188e-10       1.977281138649e-15       2.384787516625e-13       0.000000000000e+00       1.830445480461e-10       1.804406539656e-11      -1.389853386934e-14 
   28       1.375414239866e-10       2.243567914836e-15       2.445479399637e-13       0.000000000000e+00       1.710876165166e-10       1.694136299662e-11      -1.110843270958e-14 
   29       1.396826756922e-10       2.535141291283e-15       2.496129008212e-13       0.000000000000e+00       1.601411748191e-10       1.592220916255e-11      -8.703023839273e-15 
   30       1.418619342726e-10       2.853093560941e-15       2.537219320657e-13       0.000000000000e+00       1.501449210814e-10       1.498555806232e-11      -7.071306869451e-15 
   31       1.440808707076e-10       3.198050892277e-15       2.569489095801e-13       0.000000000000e+00       1.410246850167e-10       1.413146675305e-11      -6.393935537527e-15 
   32       1.463313939923e-10       3.570585693372e-15       2.593615704015e-13       0.000000000000e+00       1.326362148214e-10       1.335294213164e-11      -6.758824156959e-15 
   33       1.486129863914e-10       3.971635419054e-15       2.608792966649e-13       0.000000000000e+00       1.249338566068e-10       1.264341772287e-11      -7.813655247505e-15 
   34       1.509193128974e-10       4.402227846097e-15       2.613615225388e-13       0.000000000000e+00       1.178494396373e-10       1.199058255676e-11      -8.970662833894e-15 
   35       1.532391168214e-10       4.863354356308e-15       2.606588229189e-13       0.000000000000e+00       1.112775685400e-10       1.137862597010e-11      -9.639043611388e-15 
   36       1.555793724144e-10       5.355916939809e-15       2.586687262232e-13       0.000000000000e+00       1.052012136013e-10       1.080545552886e-11      -9.756152728737e-15 
   37       1.579486752762e-10       5.880757132573e-15       2.552974745044e-13       0.000000000000e+00       9.960135667078e-11       1.027063022861e-11      -9.436630952028e-15 
   38       1.603502782207e-10       6.438665078479e-15       2.504445987174e-13       0.000000000000e+00       9.441902052150e-11       9.770397537588e-12      -8.835502672522e-15 
   39       1.627831747880e-10       7.030367563368e-15       2.440272377420e-13       0.000000000000e+00       8.957654593563e-11       9.299479586696e-12      -8.127038224186e-15 
   40       1.652473790189e-10       7.656496688764e-15       2.360642948031e-13       0.000000000000e+00       8.505911797495e-11       8.857931326279e-12      -7.425433325678e-15 
   41       1.677393551724e-10       8.317603990901e-15       2.266201351487e-13       0.000000000000e+00       8.085486690392e-11       8.446093050094e-12      -6.842063538179e-15 
   42       1.702499250245e-10       9.014163128919e-15       2.157836132551e-13       0.000000000000e+00       7.693054176985e-11       8.062537537986e-12      -6.508386067976e-15 
   43       1.727687313471e-10       9.746631231475e-15       2.036344919745e-13       0.000000000000e+00       7.324381111007e-11       7.704771348584e-12      -6.535352933343e-15 
   44       1.753005311275e-10       1.051566655943e-14       1.901268777443e-13       0.000000000000e+00       6.978900489890e-11       7.371970319656e-12      -6.873832054338e-15 
   45       1.778531005754e-10       1.132197105175e-14       1.751717950602e-13       0.000000000000e+00       6.656260646060e-11       7.062833513968e-12      -7.412582859111e-15 
   46       1.804324889086e-10       1.216622997686e-14       1.586682103205e-13       0.000000000000e+00       6.354951848589e-11       6.774700839597e-12      -8.014736812023e-15 
   47       1.830428110887e-10       1.304911156086e-14       1.405022155770e-13       0.000000000000e+00       6.072216011232e-11       6.503451175066e-12      -8.516295687599e-15 
   48       1.856862304613e-10       1.397117871787e-14       1.205696436242e-13       0.000000000000e+00       5.804895851738e-11       6.244692339549e-12      -8.770960168399e-15 
   49       1.883633845089e-10       1.493259568530e-14       9.885335621143e-14       0.000000000000e+00       5.552476104097e-11       5.997965368259e-12      -8.803062532035e-15 
   50       1.910727230095e-10       1.593333805394e-14       7.536634002363e-14       0.000000000000e+00       5.314744455069e-11       5.763550338354e-12      -8.695163682069e-15 
   51       1.938101358975e-10       1.697326870887e-14       5.013054740726e-14       0.000000000000e+00       5.090885623188e-11       5.541242917690e-12      -8.546327560806e-15 
   52       1.965687556891e-10       1.805213297310e-14       2.317727559752e-14       0.000000000000e+00       4.879438997992e-11       5.330318400416e-12      -8.472983215286e-15 
   53       1.993416271305e-10       1.916967723159e-14      -5.466312397215e-15       0.000000000000e+00       4.678757328812e-11       5.129844031934e-12      -8.579085040861e-15 
   54       2.021309768725e-10       2.032605179284e-14      -3.582256724718e-14       0.000000000000e+00       4.488618772926e-11       4.939793056558e-12      -8.855600905273e-15 
   55       2.049409830813e-10       2.152150315635e-14      -6.792898191265e-14       0.000000000000e+00       4.308955545301e-11       4.760154458434e-12      -9.256680571487e-15 
   56       2.077750412419e-10       2.275625991367e-14      -1.018255519962e-13       0.000000000000e+00       4.139368281268e-11       4.590588866921e-12      -9.727679543684e-15 
   57       2.106356868022e-10       2.403053306950e-14      -1.375549775782e-13       0.000000000000e+00       3.979104684120e-11       4.430407195511e-12      -1.020473384509e-14 
   58       2.135245178163e-10       2.534451636263e-14      -1.751628650524e-13       0.000000000000e+00       3.827038172701e-11       4.278549280755e-12      -1.061433479581e-14 
   59       2.164425085627e-10       2.669826858921e-14      -2.146849807020e-13       0.000000000000e+00       3.681977983793e-11       4.133870884630e-12      -1.089086891030e-14 
   60       2.193912111344e-10       2.809132793103e-14      -2.561050963664e-13       0.000000000000e+00       3.543732070080e-11       3.996131047779e-12      -1.103495993084e-14 
   61       2.223716966739e-10       2.952300847093e-14      -2.993876936013e-13       0.000000000000e+00       3.412253740079e-11       3.865196683925e-12      -1.106794811026e-14 
   62       2.253841261404e-10       3.099250671189e-14      -3.444898189467e-13       0.000000000000e+00       3.287321996425e-11       3.740743691694e-12      -1.101529638208e-14 
   63       2.284276862076e-10       3.249889789805e-14      -3.913608468390e-13       0.000000000000e+00       3.168531419226e-11       3.622246046532e-12      -1.090677412548e-14 
   64       2.315005251604e-10       3.404113233588e-14      -4.399422425222e-13       0.000000000000e+00       3.055282049412e-11       3.508964892634e-12      -1.077664093027e-14 
   65       2.346006699785e-10       3.561814987814e-14      -4.901801420365e-13       0.000000000000e+00       2.946944932044e-11       3.400151679423e-12      -1.065610287784e-14 
   66       2.377291473124e-10       3.722925982018e-14      -5.420667213342e-13       0.000000000000e+00       2.843422218922e-11       3.295732075064e-12      -1.054841170441e-14 
   67       2.408874108398e-10       3.887383512045e-14      -5.956071904962e-13       0.000000000000e+00       2.744687952064e-11       3.195747822769e-12      -1.044880498646e-14 
   68       2.440763824304e-10       4.055120097020e-14      -6.508078689028e-13       0.000000000000e+00       2.650617764828e-11       3.100150648021e-12      -1.035173650644e-14 
   69       2.472964154895e-10       4.226063441988e-14      -7.076763066646e-13       0.000000000000e+00       2.560983678827e-11       3.008797337760e-12      -1.025084386423e-14 
   70       2.505472583007e-10       4.400136400545e-14      -7.662214060539e-13       0.000000000000e+00       2.475448900850e-11       2.921444819560e-12      -1.013891608880e-14 
   71       2.538280173692e-10       4.577256937475e-14      -8.264535429357e-13       0.000000000000e+00       2.393562619772e-11       2.837745240814e-12      -1.000786124965e-14 
   72       2.571377389915e-10       4.757334613536e-14      -8.883762051496e-13       0.000000000000e+00       2.314875966606e-11       2.757340221547e-12      -9.851118927679e-15 
   73       2.604773646645e-10       4.940259341703e-14      -9.519587796724e-13       0.000000000000e+00       2.239327225959e-11       2.680175493074e-12      -9.671505706425e-15 
   74       2.638480865199e-10       5.125910395115e-14      -1.017158737078e-12       0.000000000000e+00       2.166921507372e-11       2.606238042723e-12      -9.474824102948e-15 
   75       2.672507401948e-10       5.314159578910e-14      -1.083929580743e-12       0.000000000000e+00       2.097613738355e-11       2.535459680054e-12      -9.267574173415e-15 
   76       2.706857822899e-10       5.504871113457e-14      -1.152220774602e-12       0.000000000000e+00       2.031306227582e-11       2.467714380278e-12      -9.056976943347e-15 
   77       2.741532678267e-10       5.697901517587e-14      -1.221977670901e-12       0.000000000000e+00       1.967846228093e-11       2.402815627679e-12      -8.850997837875e-15 
   78       2.776528277058e-10       5.893099491831e-14      -1.293141437953e-12       0.000000000000e+00       1.907023500490e-11       2.340513759034e-12      -8.658370111986e-15 
   79       2.811836461645e-10       6.090305801643e-14      -1.365648987889e-12       0.000000000000e+00       1.848567876132e-11       2.280493307031e-12      -8.488618280775e-15 
   80       2.847449059274e-10       6.289358410204e-14      -1.439438320659e-12       0.000000000000e+00       1.792216361833e-11       2.222451132324e-12      -8.349813821579e-15 
   81       2.883372622826e-10       6.490109160253e-14      -1.514465783766e-12       0.000000000000e+00       1.737933235840e-11       2.166352290589e-12      -8.241341874246e-15 
   82       2.919615850499e-10       6.692409789725e-14      -1.590691692108e-12       0.000000000000e+00       1.685723905584e-11       2.112213959294e-12      -8.159915253168e-15 
   83       2.956184999579e-10       6.896106920246e-14      -1.668075205590e-12       0.000000000000e+00       1.635567629871e-11       2.060027453203e-12      -8.101712324024e-15 
   84       2.993083747632e-10       7.101042037587e-14      -1.746574357172e-12       0.000000000000e+00       1.587416369882e-11       2.009757063875e-12      -8.062358439066e-15 
   85       3.030313053688e-10       7.307051472104e-14      -1.826146080932e-12       0.000000000000e+00       1.541193640182e-11       1.961338899175e-12      -8.036907372404e-15 
   86       3.067871019430e-10       7.513966379188e-14      -1.906746240113e-12       0.000000000000e+00       1.496793359716e-11       1.914679722778e-12      -8.019822755289e-15 
   87       3.105752750383e-10       7.721612719709e-14      -1.988329655186e-12       0.000000000000e+00       1.454078702819e-11       1.869655793672e-12      -8.004959511403e-15 
   88       3.143950217096e-10       7.929811240463e-14      -2.070850131899e-12       0.000000000000e+00       1.412880950212e-11       1.826111705670e-12      -7.985545292139e-15 
   89       3.182455354645e-10       8.138379958982e-14      -2.154259033051e-12       0.000000000000e+00       1.373039671095e-11       1.783898787758e-12      -7.955633980302e-15 
   90       3.221270220910e-10       8.347142107283e-14      -2.238500675897e-12       0.000000000000e+00       1.334532997694e-11       1.742999738227e-12      -7.914767972130e-15 
   91       3.260398183459e-10       8.555919404003e-14      -2.323516261075e-12       0.000000000000e+00       1.297365764700e-11       1.703421494428e-12      -7.864016454059e-15 
   92       3.299840734065e-10       8.764529678684e-14      -2.409245270767e-12       0.000000000000e+00       1.261529474994e-11       1.665156852489e-12      -7.804571880756e-15 
   93       3.339597398401e-10       8.972786889739e-14      -2.495625474937e-12       0.000000000000e+00       1.227001769845e-11       1.628183899489e-12      -7.737753463865e-15 
   94       3.379665645746e-10       9.180501142412e-14      -2.582592937571e-12       0.000000000000e+00       1.193745899101e-11       1.592465445636e-12      -7.665010660755e-15 
   95       3.420040798684e-10       9.387478706748e-14      -2.670082022913e-12       0.000000000000e+00       1.161710191392e-11       1.557948456443e-12      -7.587926663259e-15 
   96       3.460715942807e-10       9.593522035556e-14      -2.758025401701e-12       0.000000000000e+00       1.130827524318e-11       1.524563484910e-12      -7.508221886423e-15 
   97       3.501681836414e-10       9.798429782373e-14      -2.846354057410e-12       0.000000000000e+00       1.101014794647e-11       1.492224103697e-12      -7.427757457249e-15 
   98       3.542926820218e-10       1.000199681943e-13      -2.934997292487e-12       0.000000000000e+00       1.072172388511e-11       1.460826337305e-12      -7.348538703438e-15 
   99       3.584439721943e-10       1.020401891270e-13      -3.023884106245e-12       0.000000000000e+00       1.044207012664e-11       1.430273441068e-12      -7.272313053464e-15 
  100       3.626219234766e-10       1.040430746381e-13      -3.112947537766e-12       0.000000000000e+00       1.017105023388e-11       1.400555470232e-12      -7.199291209608e-15 
  101       3.668265705684e-10       1.060267689927e-13      -3.202120952579e-12       0.000000000000e+00       9.908685480939e-12       1.371679978743e-12      -7.129250478479e-15 
  102       3.710578205808e-10       1.079894027315e-13      -3.291336748464e-12       0.000000000000e+00       9.654928073453e-12       1.343647420585e-12      -7.061922790590e-15 
  103       3.753154476364e-10       1.099290934152e-13      -3.380526378312e-12       0.000000000000e+00       9.409658682144e-12       1.316450889202e-12      -6.996993272883e-15 
  104       3.795990874702e-10       1.118439463683e-13      -3.469620372989e-12       0.000000000000e+00       9.172683976435e-12       1.290075856901e-12      -6.934098821243e-15 
  105       3.839082320292e-10       1.137320554233e-13      -3.558548364202e-12       0.000000000000e+00       8.943734158044e-12       1.264499914268e-12      -6.872826673017e-15 
  106       3.882422240733e-10       1.155915036652e-13      -3.647239107361e-12       0.000000000000e+00       8.722460494578e-12       1.239692509582e-12      -6.812712979532e-15 
  107       3.926002517755e-10       1.174203641750e-13      -3.735620504446e-12       0.000000000000e+00       8.508432853135e-12       1.215614688220e-12      -6.753241378614e-15 
  108       3.969813433221e-10       1.192167007745e-13      -3.823619626868e-12       0.000000000000e+00       8.301137233895e-12       1.192218832075e-12      -6.693841567106e-15 
  109       4.013843615131e-10       1.209785687701e-13      -3.911162738336e-12       0.000000000000e+00       8.099973303720e-12       1.169448398966e-12      -6.633887873386e-15 
