# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341005568e-10       4.176087245687e-15       3.515761445778e-13       2.323557804605e-19       8.285726686712e-09       4.560794811466e-10      -1.840600018326e-12 
    3       1.306087619616e-10       5.351275401944e-15       3.951626959075e-13       4.647993179637e-19       5.086960997348e-09       3.225652774258e-10      -1.393870151347e-12 
    4       1.235436008583e-10       4.627240654219e-15       3.695430698287e-13       7.748590968487e-19       3.522980047558e-09       2.438407962484e-10      -9.122244678511e-13 
    5       1.182602331423e-10       3.085975070993e-15       3.147003619666e-13       1.162648127028e-18       2.621514049785e-09       1.923923474056e-10      -5.067133916812e-13 
    6       1.146395713651e-10       1.725603863486e-15       2.534558029791e-13       1.628304302572e-18       2.042588802704e-09       1.563934993005e-10      -2.080081015031e-13 
    7       1.122822271207e-10       9.335024789037e-16       1.990061254008e-13       2.171988276210e-18       1.644357609202e-09       1.299931817385e-10      -1.760729477104e-14 
    8       1.109081558134e-10       6.038241875236e-16       1.571242978535e-13       2.793881024336e-18       1.356591928682e-09       1.099887188969e-10       7.943223094591e-14 
    9       1.102693045879e-10       4.859096492369e-16       1.290900231263e-13       3.494181160032e-18       1.140654550905e-09       9.448218153965e-11       1.064491721991e-13 
   10       1.101353844146e-10       4.150353667765e-16       1.135793032574e-13       4.273102056883e-18       9.737532070234e-10       8.220662275461e-11       8.928862220818e-14 
   11       1.104473409682e-10       3.497990614139e-16       1.079343596578e-13       5.130868849820e-18       8.334433196483e-10       7.301999900620e-11       5.203850324784e-14 
   12       1.110540952342e-10       3.058531091023e-16       1.090983497646e-13       6.067715380829e-18       7.284077135063e-10       6.456656803997e-11       1.227924062524e-14 
   13       1.119050988203e-10       2.942000522697e-16       1.143886737281e-13       7.083881157115e-18       6.421587105083e-10       5.770054266922e-11      -1.799214329453e-14 
   14       1.129526627238e-10       3.068715732040e-16       1.217846714417e-13       8.179608387184e-18       5.703837905522e-10       5.172026896721e-11      -3.451684822749e-14 
   15       1.141839503929e-10       3.321259242450e-16       1.299980967689e-13       9.355139156405e-18       5.099591995717e-10       4.668963704484e-11      -3.750230335655e-14 
   16       1.155242461469e-10       3.674379023962e-16       1.383663129108e-13       1.061071279807e-17       4.585735304419e-10       4.235372243798e-11      -3.091064066512e-14 
   17       1.170005812701e-10       4.183441279684e-16       1.466673580316e-13       1.194656350895e-17       4.144842991442e-10       3.856969508772e-11      -1.993910323435e-14 
   18       1.185499166869e-10       4.902731556401e-16       1.551624622573e-13       1.336291815655e-17       3.762142277954e-10       3.526902265539e-11      -9.474435478870e-15 
   19       1.201836023683e-10       5.835510883661e-16       1.640748241328e-13       1.485999496477e-17       3.431461650209e-10       3.240456792990e-11      -2.117529742473e-15 
   20       1.218943633454e-10       6.961780386666e-16       1.735441774794e-13       1.643800102327e-17       3.140199502995e-10       2.986211616077e-11       4.239094165806e-16 
