# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537043361e+01 
       2.326965113935e-05       1.050300519654e+02 
       3.616368419923e-05       1.608004191666e+02 
       4.913719196333e-05       2.162184424591e+02 
       6.222526312648e-05       2.716135686436e+02 
       7.546386581203e-05       3.272350784549e+02 
       8.889016881434e-05       3.832976874120e+02 
       1.025428770015e-04       4.400002624674e+02 
       1.164625851641e-04       4.975354604921e+02 
       1.306921546291e-04       5.560955879314e+02 
       1.452771169652e-04       6.158767106055e+02 
       1.602661090501e-04       6.770818631175e+02 
       1.757113435956e-04       7.399238162362e+02 
       1.916691188734e-04       8.046276090134e+02 
       2.082003707424e-04       8.714330010529e+02 
       2.253712690394e-04       9.405968891058e+02 
       2.432538587757e-04       1.012395746777e+03 
       2.619267441879e-04       1.087128085686e+03 
       2.814758102448e-04       1.165116930744e+03 
       3.019949713976e-04       1.246712256450e+03 
       3.235869308126e-04       1.332293318351e+03 
       3.463639246424e-04       1.422270768811e+03 
       3.704484147098e-04       1.517088387763e+03 
       3.959736790344e-04       1.617224233547e+03 
       4.230842329326e-04       1.723190924059e+03 
       4.519359944615e-04       1.835534715779e+03 
       4.826960880159e-04       1.954832966679e+03 
       5.155421613670e-04       2.081689530759e+03 
       5.506610782549e-04       2.216727582177e+03 
       5.882468464674e-04       2.360579422081e+03 
       6.284976572906e-04       2.513872891961e+03 
       6.716119540868e-04       2.677214260573e+03 
       7.177835220058e-04       2.851167701017e+03 
       7.671956996163e-04       3.036232039571e+03 
       8.200149507116e-04       3.232815846417e+03 
       8.763841837887e-04       3.441212627661e+03 
       9.364163392868e-04       3.661578183057e+03 
       1.000188844860e-03       3.893912569476e+03 
       1.067739533183e-03       4.138048819377e+03 
       1.139064506533e-03       4.393650230599e+03 
       1.214118224972e-03       4.660216792963e+03 
       1.292815826447e-03       4.937100942921e+03 
       1.375037413735e-03       5.223510094946e+03 
       1.460633823439e-03       5.518572249752e+03 
       1.549433268240e-03       5.821370270530e+03 
       1.641248228609e-03       6.130931125221e+03 
       1.735882049091e-03       6.446272523900e+03 
       1.833134832969e-03       6.766426404380e+03 
       1.932808388848e-03       7.090457905495e+03 
       2.034710131150e-03       7.417479776333e+03 
       2.138655953776e-03       7.746661754541e+03 
       2.244472175272e-03       8.077237273122e+03 
       2.351996696720e-03       8.408505317088e+03 
       2.461079527959e-03       8.739830713541e+03 
       2.571582832363e-03       9.070642193377e+03 
       2.683380623610e-03       9.400428775424e+03 
       2.796358225924e-03       9.728736898564e+03 
       2.910411586514e-03       1.005516447089e+04 
       3.025446507927e-03       1.037935851489e+04 
       3.141377849931e-03       1.070100805799e+04 
       3.258128735840e-03       1.101984287876e+04 
       3.375629786672e-03       1.133562619172e+04 
       3.493818397768e-03       1.164815372902e+04 
       3.612638066151e-03       1.195724822783e+04 
       3.732037772323e-03       1.226275931752e+04 
       3.851971417074e-03       1.256455625831e+04 
       3.972397311841e-03       1.286253076234e+04 
       4.093277719830e-03       1.315658987815e+04 
       4.214578444415e-03       1.344665902216e+04 
       4.336268460976e-03       1.373267246436e+04 
       4.458319588233e-03       1.401458596572e+04 
       4.580706195259e-03       1.429235671408e+04 
       4.703404940501e-03       1.456594906481e+04 
       4.826394539436e-03       1.483530497114e+04 
       4.949655557716e-03       1.510050708478e+04 
       5.073170226988e-03       1.536146863893e+04 
       5.196922280842e-03       1.561821129470e+04 
       5.320896808584e-03       1.587077403537e+04 
       5.445080124821e-03       1.611917061598e+04 
       5.569459653030e-03       1.636335288096e+04 
       5.694023821536e-03       1.660261945318e+04 
       5.818761970459e-03       1.683846148469e+04 
       5.943664268392e-03       1.707016087326e+04 
       6.068721637714e-03       1.729769659062e+04 
       6.193925687552e-03       1.752122439801e+04 
